PCA_GHG_Bio,Composite_Water,grouping,sex,diet_group,age_group
2.758,3.974,meat50-99_male_20-29,male,meat,20-29
2.833,3.896,meat50-99_male_30-39,male,meat,30-39
2.719,3.664,meat50-99_male_40-49,male,meat,40-49
2.750,4.068,meat50-99_male_50-59,male,meat,50-59
2.838,4.158,meat50-99_male_60-69,male,meat,60-69
2.902,4.488,meat50-99_male_70-79,male,meat,70-79
0.723,1.071,vegan_female_20-29,female,vegan,20-29
0.865,1.124,vegan_female_30-39,female,vegan,30-39
0.753,1.145,vegan_female_40-49,female,vegan,40-49
0.862,1.188,vegan_female_50-59,female,vegan,50-59
0.886,1.195,vegan_female_60-69,female,vegan,60-69
0.834,1.345,vegan_female_70-79,female,vegan,70-79
0.956,1.329,vegan_male_20-29,male,vegan,20-29
0.947,1.124,vegan_male_30-39,male,vegan,30-39
0.941,0.974,vegan_male_40-49,male,vegan,40-49
0.897,1.164,vegan_male_50-59,male,vegan,50-59
0.854,1.160,vegan_male_60-69,male,vegan,60-69
0.739,1.185,vegan_male_70-79,male,vegan,70-79
1.644,1.552,veggie_female_20-29,female,veggie,20-29
1.655,1.520,veggie_female_30-39,female,veggie,30-39
1.674,1.473,veggie_female_40-49,female,veggie,40-49
1.690,1.479,veggie_female_50-59,female,veggie,50-59
1.731,1.466,veggie_female_60-69,female,veggie,60-69
1.699,1.508,veggie_female_70-79,female,veggie,70-79
1.940,1.756,veggie_male_20-29,male,veggie,20-29
1.884,1.689,veggie_male_30-39,male,veggie,30-39
1.774,1.577,veggie_male_40-49,male,veggie,40-49
1.739,1.612,veggie_male_50-59,male,veggie,50-59
1.774,1.468,veggie_male_60-69,male,veggie,60-69
1.907,1.788,veggie_male_70-79,male,veggie,70-79
1.885,1.881,fish_female_20-29,female,fish,20-29
1.936,1.895,fish_female_30-39,female,fish,30-39
2.067,1.901,fish_female_40-49,female,fish,40-49
2.301,1.982,fish_female_50-59,female,fish,50-59
2.235,2.061,fish_female_60-69,female,fish,60-69
2.114,2.150,fish_female_70-79,female,fish,70-79
1.839,2.309,fish_male_20-29,male,fish,20-29
1.935,2.191,fish_male_30-39,male,fish,30-39
1.929,2.055,fish_male_40-49,male,fish,40-49
2.082,2.012,fish_male_50-59,male,fish,50-59
1.935,2.031,fish_male_60-69,male,fish,60-69
2.393,2.317,fish_male_70-79,male,fish,70-79
2.023,1.898,meat <50_female_20-29,female,meat50,20-29
2.068,2.000,meat <50_female_30-39,female,meat50,30-39
2.210,1.988,meat <50_female_40-49,female,meat50,40-49
2.374,2.056,meat <50_female_50-59,female,meat50,50-59
2.429,2.107,meat <50_female_60-69,female,meat50,60-69
2.268,2.156,meat <50_female_70-79,female,meat50,70-79
1.848,2.043,meat <50_male_20-29,male,meat50,20-29
2.032,2.234,meat <50_male_30-39,male,meat50,30-39
2.068,2.143,meat <50_male_40-49,male,meat50,40-49
2.262,2.033,meat <50_male_50-59,male,meat50,50-59
2.073,2.092,meat <50_male_60-69,male,meat50,60-69
2.366,2.185,meat <50_male_70-79,male,meat50,70-79
3.165,3.591,meat 100+_female_20-29,female,meat100,20-29
3.278,3.558,meat 100+_female_30-39,female,meat100,30-39
3.398,3.536,meat 100+_female_40-49,female,meat100,40-49
3.645,3.683,meat 100+_female_50-59,female,meat100,50-59
3.511,3.665,meat 100+_female_60-69,female,meat100,60-69
3.466,3.925,meat 100+_female_70-79,female,meat100,70-79
3.419,4.223,meat 100+_male_20-29,male,meat100,20-29
3.230,3.930,meat 100+_male_30-39,male,meat100,30-39
3.359,3.655,meat 100+_male_40-49,male,meat100,40-49
3.249,3.625,meat 100+_male_50-59,male,meat100,50-59
3.152,3.753,meat 100+_male_60-69,male,meat100,60-69
3.308,4.086,meat 100+_male_70-79,male,meat100,70-79
2.370,2.551,meat50-99_female_20-29,female,meat,20-29
2.475,2.598,meat50-99_female_30-39,female,meat,30-39
2.661,2.565,meat50-99_female_40-49,female,meat,40-49
2.793,2.586,meat50-99_female_50-59,female,meat,50-59
2.738,2.694,meat50-99_female_60-69,female,meat,60-69
2.588,2.802,meat50-99_female_70-79,female,meat,70-79
2.399,2.762,meat50-99_male_20-29,male,meat,20-29
2.571,2.824,meat50-99_male_30-39,male,meat,30-39
2.548,2.542,meat50-99_male_40-49,male,meat,40-49
2.514,2.646,meat50-99_male_50-59,male,meat,50-59
2.558,2.621,meat50-99_male_60-69,male,meat,60-69
2.386,2.769,meat50-99_male_70-79,male,meat,70-79
0.364,0.777,vegan_female_20-29,female,vegan,20-29
0.439,0.753,vegan_female_30-39,female,vegan,30-39
0.604,0.949,vegan_female_40-49,female,vegan,40-49
0.468,0.908,vegan_female_50-59,female,vegan,50-59
0.588,0.958,vegan_female_60-69,female,vegan,60-69
0.836,0.952,vegan_female_70-79,female,vegan,70-79
0.530,1.115,vegan_male_20-29,male,vegan,20-29
0.500,0.963,vegan_male_30-39,male,vegan,30-39
0.528,0.884,vegan_male_40-49,male,vegan,40-49
0.461,0.756,vegan_male_50-59,male,vegan,50-59
0.295,0.965,vegan_male_60-69,male,vegan,60-69
0.364,1.120,vegan_male_70-79,male,vegan,70-79
1.597,1.295,veggie_female_20-29,female,veggie,20-29
1.743,1.321,veggie_female_30-39,female,veggie,30-39
1.876,1.342,veggie_female_40-49,female,veggie,40-49
1.998,1.364,veggie_female_50-59,female,veggie,50-59
2.012,1.453,veggie_female_60-69,female,veggie,60-69
1.878,1.634,veggie_female_70-79,female,veggie,70-79
1.596,1.616,veggie_male_20-29,male,veggie,20-29
1.709,1.552,veggie_male_30-39,male,veggie,30-39
1.668,1.499,veggie_male_40-49,male,veggie,40-49
1.626,1.421,veggie_male_50-59,male,veggie,50-59
1.657,1.426,veggie_male_60-69,male,veggie,60-69
1.657,1.701,veggie_male_70-79,male,veggie,70-79
1.184,1.506,fish_female_20-29,female,fish,20-29
1.203,1.650,fish_female_30-39,female,fish,30-39
1.206,1.697,fish_female_40-49,female,fish,40-49
1.233,1.802,fish_female_50-59,female,fish,50-59
1.317,1.914,fish_female_60-69,female,fish,60-69
1.322,1.954,fish_female_70-79,female,fish,70-79
1.413,2.013,fish_male_20-29,male,fish,20-29
1.325,1.902,fish_male_30-39,male,fish,30-39
1.316,1.860,fish_male_40-49,male,fish,40-49
1.313,1.808,fish_male_50-59,male,fish,50-59
1.344,1.834,fish_male_60-69,male,fish,60-69
1.478,2.025,fish_male_70-79,male,fish,70-79
1.485,1.401,meat <50_female_20-29,female,meat50,20-29
1.541,1.564,meat <50_female_30-39,female,meat50,30-39
1.599,1.561,meat <50_female_40-49,female,meat50,40-49
1.681,1.576,meat <50_female_50-59,female,meat50,50-59
1.703,1.624,meat <50_female_60-69,female,meat50,60-69
1.699,1.647,meat <50_female_70-79,female,meat50,70-79
1.589,1.469,meat <50_male_20-29,male,meat50,20-29
1.640,1.747,meat <50_male_30-39,male,meat50,30-39
1.683,1.633,meat <50_male_40-49,male,meat50,40-49
1.744,1.514,meat <50_male_50-59,male,meat50,50-59
1.774,1.577,meat <50_male_60-69,male,meat50,60-69
1.919,1.675,meat <50_male_70-79,male,meat50,70-79
4.228,1.964,meat 100+_female_20-29,female,meat100,20-29
4.427,1.940,meat 100+_female_30-39,female,meat100,30-39
5.066,1.852,meat 100+_female_40-49,female,meat100,40-49
5.284,1.893,meat 100+_female_50-59,female,meat100,50-59
5.332,1.903,meat 100+_female_60-69,female,meat100,60-69
5.586,2.067,meat 100+_female_70-79,female,meat100,70-79
5.000,2.396,meat 100+_male_20-29,male,meat100,20-29
4.689,2.202,meat 100+_male_30-39,male,meat100,30-39
4.954,1.930,meat 100+_male_40-49,male,meat100,40-49
5.137,1.902,meat 100+_male_50-59,male,meat100,50-59
5.054,2.035,meat 100+_male_60-69,male,meat100,60-69
5.738,2.101,meat 100+_male_70-79,male,meat100,70-79
2.224,1.619,meat50-99_female_20-29,female,meat,20-29
2.386,1.645,meat50-99_female_30-39,female,meat,30-39
2.644,1.597,meat50-99_female_40-49,female,meat,40-49
2.723,1.616,meat50-99_female_50-59,female,meat,50-59
2.697,1.712,meat50-99_female_60-69,female,meat,60-69
2.775,1.851,meat50-99_female_70-79,female,meat,70-79
2.288,1.844,meat50-99_male_20-29,male,meat,20-29
2.468,1.873,meat50-99_male_30-39,male,meat,30-39
2.715,1.567,meat50-99_male_40-49,male,meat,40-49
2.783,1.612,meat50-99_male_50-59,male,meat,50-59
2.877,1.617,meat50-99_male_60-69,male,meat,60-69
3.073,1.725,meat50-99_male_70-79,male,meat,70-79
0.350,0.863,vegan_female_20-29,female,vegan,20-29
0.472,1.050,vegan_female_30-39,female,vegan,30-39
0.473,1.374,vegan_female_40-49,female,vegan,40-49
0.489,1.097,vegan_female_50-59,female,vegan,50-59
0.528,1.173,vegan_female_60-69,female,vegan,60-69
0.628,1.557,vegan_female_70-79,female,vegan,70-79
0.535,1.132,vegan_male_20-29,male,vegan,20-29
0.553,1.143,vegan_male_30-39,male,vegan,30-39
0.568,1.232,vegan_male_40-49,male,vegan,40-49
0.443,0.907,vegan_male_50-59,male,vegan,50-59
0.480,1.545,vegan_male_60-69,male,vegan,60-69
0.510,1.523,vegan_male_70-79,male,vegan,70-79
0.954,1.002,veggie_female_20-29,female,veggie,20-29
1.023,1.114,veggie_female_30-39,female,veggie,30-39
1.045,1.199,veggie_female_40-49,female,veggie,40-49
1.041,1.282,veggie_female_50-59,female,veggie,50-59
1.112,1.422,veggie_female_60-69,female,veggie,60-69
1.095,1.518,veggie_female_70-79,female,veggie,70-79
1.146,1.253,veggie_male_20-29,male,veggie,20-29
1.159,1.257,veggie_male_30-39,male,veggie,30-39
1.104,1.280,veggie_male_40-49,male,veggie,40-49
1.121,1.199,veggie_male_50-59,male,veggie,50-59
1.091,1.403,veggie_male_60-69,male,veggie,60-69
1.251,1.529,veggie_male_70-79,male,veggie,70-79
1.956,4.147,fish_female_20-29,female,fish,20-29
1.952,4.077,fish_female_30-39,female,fish,30-39
2.012,3.743,fish_female_40-49,female,fish,40-49
2.009,3.656,fish_female_50-59,female,fish,50-59
2.167,3.359,fish_female_60-69,female,fish,60-69
2.307,3.105,fish_female_70-79,female,fish,70-79
1.985,5.113,fish_male_20-29,male,fish,20-29
1.850,4.340,fish_male_30-39,male,fish,30-39
1.807,3.920,fish_male_40-49,male,fish,40-49
1.794,3.926,fish_male_50-59,male,fish,50-59
1.946,3.478,fish_male_60-69,male,fish,60-69
2.132,3.421,fish_male_70-79,male,fish,70-79
2.459,4.421,meat <50_female_20-29,female,meat50,20-29
2.383,4.140,meat <50_female_30-39,female,meat50,30-39
2.516,3.829,meat <50_female_40-49,female,meat50,40-49
2.597,3.645,meat <50_female_50-59,female,meat50,50-59
2.726,3.322,meat <50_female_60-69,female,meat50,60-69
2.852,3.307,meat <50_female_70-79,female,meat50,70-79
2.275,4.338,meat <50_male_20-29,male,meat50,20-29
2.377,4.389,meat <50_male_30-39,male,meat50,30-39
2.413,3.882,meat <50_male_40-49,male,meat50,40-49
2.503,3.902,meat <50_male_50-59,male,meat50,50-59
2.662,3.339,meat <50_male_60-69,male,meat50,60-69
2.898,3.247,meat <50_male_70-79,male,meat50,70-79
6.592,6.150,meat 100+_female_20-29,female,meat100,20-29
6.787,5.783,meat 100+_female_30-39,female,meat100,30-39
7.866,5.090,meat 100+_female_40-49,female,meat100,40-49
8.216,4.749,meat 100+_female_50-59,female,meat100,50-59
8.151,4.453,meat 100+_female_60-69,female,meat100,60-69
8.579,4.318,meat 100+_female_70-79,female,meat100,70-79
7.501,6.103,meat 100+_male_20-29,male,meat100,20-29
7.034,6.129,meat 100+_male_30-39,male,meat100,30-39
7.429,5.069,meat 100+_male_40-49,male,meat100,40-49
7.708,4.720,meat 100+_male_50-59,male,meat100,50-59
7.589,4.347,meat 100+_male_60-69,male,meat100,60-69
8.619,4.215,meat 100+_male_70-79,male,meat100,70-79
3.542,5.243,meat50-99_female_20-29,female,meat,20-29
3.720,4.816,meat50-99_female_30-39,female,meat,30-39
4.131,4.445,meat50-99_female_40-49,female,meat,40-49
4.264,4.060,meat50-99_female_50-59,female,meat,50-59
4.184,3.752,meat50-99_female_60-69,female,meat,60-69
4.330,3.506,meat50-99_female_70-79,female,meat,70-79
3.287,5.223,meat50-99_male_20-29,male,meat,20-29
3.677,5.136,meat50-99_male_30-39,male,meat,30-39
3.946,4.402,meat50-99_male_40-49,male,meat,40-49
4.071,4.256,meat50-99_male_50-59,male,meat,50-59
4.139,3.806,meat50-99_male_60-69,male,meat,60-69
4.552,3.512,meat50-99_male_70-79,male,meat,70-79
0.354,3.018,vegan_female_20-29,female,vegan,20-29
0.506,2.863,vegan_female_30-39,female,vegan,30-39
0.557,2.722,vegan_female_40-49,female,vegan,40-49
0.516,2.555,vegan_female_50-59,female,vegan,50-59
0.483,2.350,vegan_female_60-69,female,vegan,60-69
0.663,3.812,vegan_female_70-79,female,vegan,70-79
0.493,3.850,vegan_male_20-29,male,vegan,20-29
0.545,3.133,vegan_male_30-39,male,vegan,30-39
0.591,2.385,vegan_male_40-49,male,vegan,40-49
0.400,2.612,vegan_male_50-59,male,vegan,50-59
0.434,2.243,vegan_male_60-69,male,vegan,60-69
0.501,2.830,vegan_male_70-79,male,vegan,70-79
1.783,3.517,veggie_female_20-29,female,veggie,20-29
1.794,3.315,veggie_female_30-39,female,veggie,30-39
1.852,3.006,veggie_female_40-49,female,veggie,40-49
1.877,2.909,veggie_female_50-59,female,veggie,50-59
2.110,2.526,veggie_female_60-69,female,veggie,60-69
2.179,2.383,veggie_female_70-79,female,veggie,70-79
1.810,3.976,veggie_male_20-29,male,veggie,20-29
1.740,3.848,veggie_male_30-39,male,veggie,30-39
1.650,3.395,veggie_male_40-49,male,veggie,40-49
1.670,3.396,veggie_male_50-59,male,veggie,50-59
1.868,2.635,veggie_male_60-69,male,veggie,60-69
1.934,3.260,veggie_male_70-79,male,veggie,70-79
1.442,2.145,fish_female_20-29,female,fish,20-29
1.425,2.284,fish_female_30-39,female,fish,30-39
1.390,2.310,fish_female_40-49,female,fish,40-49
1.344,2.512,fish_female_50-59,female,fish,50-59
1.421,2.635,fish_female_60-69,female,fish,60-69
1.394,2.757,fish_female_70-79,female,fish,70-79
1.813,2.737,fish_male_20-29,male,fish,20-29
1.649,2.637,fish_male_30-39,male,fish,30-39
1.541,2.569,fish_male_40-49,male,fish,40-49
1.456,2.584,fish_male_50-59,male,fish,50-59
1.473,2.700,fish_male_60-69,male,fish,60-69
1.506,2.951,fish_male_70-79,male,fish,70-79
1.563,2.043,meat <50_female_20-29,female,meat50,20-29
1.547,2.206,meat <50_female_30-39,female,meat50,30-39
1.561,2.200,meat <50_female_40-49,female,meat50,40-49
1.589,2.274,meat <50_female_50-59,female,meat50,50-59
1.640,2.312,meat <50_female_60-69,female,meat50,60-69
1.618,2.339,meat <50_female_70-79,female,meat50,70-79
1.819,2.090,meat <50_male_20-29,male,meat50,20-29
1.784,2.461,meat <50_male_30-39,male,meat50,30-39
1.725,2.343,meat <50_male_40-49,male,meat50,40-49
1.700,2.202,meat <50_male_50-59,male,meat50,50-59
1.660,2.312,meat <50_male_60-69,male,meat50,60-69
1.748,2.426,meat <50_male_70-79,male,meat50,70-79
3.008,2.905,meat 100+_female_20-29,female,meat100,20-29
3.038,2.917,meat 100+_female_30-39,female,meat100,30-39
3.226,2.765,meat 100+_female_40-49,female,meat100,40-49
3.302,2.821,meat 100+_female_50-59,female,meat100,50-59
3.277,2.909,meat 100+_female_60-69,female,meat100,60-69
3.446,3.028,meat 100+_female_70-79,female,meat100,70-79
3.855,3.287,meat 100+_male_20-29,male,meat100,20-29
3.385,3.207,meat 100+_male_30-39,male,meat100,30-39
3.422,2.824,meat 100+_male_40-49,male,meat100,40-49
3.443,2.894,meat 100+_male_50-59,male,meat100,50-59
3.325,3.019,meat 100+_male_60-69,male,meat100,60-69
3.570,3.130,meat 100+_male_70-79,male,meat100,70-79
2.016,2.401,meat50-99_female_20-29,female,meat,20-29
2.058,2.393,meat50-99_female_30-39,female,meat,30-39
2.128,2.338,meat50-99_female_40-49,female,meat,40-49
2.134,2.390,meat50-99_female_50-59,female,meat,50-59
2.136,2.543,meat50-99_female_60-69,female,meat,60-69
2.169,2.686,meat50-99_female_70-79,female,meat,70-79
2.336,2.687,meat50-99_male_20-29,male,meat,20-29
2.324,2.646,meat50-99_male_30-39,male,meat,30-39
2.342,2.345,meat50-99_male_40-49,male,meat,40-49
2.231,2.408,meat50-99_male_50-59,male,meat,50-59
2.287,2.466,meat50-99_male_60-69,male,meat,60-69
2.318,2.572,meat50-99_male_70-79,male,meat,70-79
0.274,1.499,vegan_female_20-29,female,vegan,20-29
0.346,1.712,vegan_female_30-39,female,vegan,30-39
0.373,2.032,vegan_female_40-49,female,vegan,40-49
0.326,1.880,vegan_female_50-59,female,vegan,50-59
0.388,2.030,vegan_female_60-69,female,vegan,60-69
0.452,2.397,vegan_female_70-79,female,vegan,70-79
0.475,1.963,vegan_male_20-29,male,vegan,20-29
0.396,1.911,vegan_male_30-39,male,vegan,30-39
0.383,1.887,vegan_male_40-49,male,vegan,40-49
0.339,1.614,vegan_male_50-59,male,vegan,50-59
0.310,2.524,vegan_male_60-69,male,vegan,60-69
0.359,2.326,vegan_male_70-79,male,vegan,70-79
1.205,1.341,veggie_female_20-29,female,veggie,20-29
1.198,1.471,veggie_female_30-39,female,veggie,30-39
1.168,1.594,veggie_female_40-49,female,veggie,40-49
1.157,1.723,veggie_female_50-59,female,veggie,50-59
1.193,1.893,veggie_female_60-69,female,veggie,60-69
1.181,1.915,veggie_female_70-79,female,veggie,70-79
1.471,1.614,veggie_male_20-29,male,veggie,20-29
1.419,1.637,veggie_male_30-39,male,veggie,30-39
1.290,1.702,veggie_male_40-49,male,veggie,40-49
1.198,1.627,veggie_male_50-59,male,veggie,50-59
1.198,1.887,veggie_male_60-69,male,veggie,60-69
1.229,2.130,veggie_male_70-79,male,veggie,70-79
1.210,2.825,fish_female_20-29,female,fish,20-29
1.288,2.788,fish_female_30-39,female,fish,30-39
1.311,2.646,fish_female_40-49,female,fish,40-49
1.309,2.739,fish_female_50-59,female,fish,50-59
1.332,2.693,fish_female_60-69,female,fish,60-69
1.290,2.600,fish_female_70-79,female,fish,70-79
1.557,3.637,fish_male_20-29,male,fish,20-29
1.496,3.245,fish_male_30-39,male,fish,30-39
1.451,2.913,fish_male_40-49,male,fish,40-49
1.434,2.872,fish_male_50-59,male,fish,50-59
1.327,2.720,fish_male_60-69,male,fish,60-69
1.331,2.866,fish_male_70-79,male,fish,70-79
1.286,2.785,meat <50_female_20-29,female,meat50,20-29
1.378,2.805,meat <50_female_30-39,female,meat50,30-39
1.437,2.703,meat <50_female_40-49,female,meat50,40-49
1.455,2.740,meat <50_female_50-59,female,meat50,50-59
1.478,2.689,meat <50_female_60-69,female,meat50,60-69
1.461,2.679,meat <50_female_70-79,female,meat50,70-79
1.482,3.003,meat <50_male_20-29,male,meat50,20-29
1.564,3.168,meat <50_male_30-39,male,meat50,30-39
1.596,2.914,meat <50_male_40-49,male,meat50,40-49
1.576,2.810,meat <50_male_50-59,male,meat50,50-59
1.501,2.703,meat <50_male_60-69,male,meat50,60-69
1.561,2.606,meat <50_male_70-79,male,meat50,70-79
2.322,4.156,meat 100+_female_20-29,female,meat100,20-29
2.475,4.090,meat 100+_female_30-39,female,meat100,30-39
2.632,3.732,meat 100+_female_40-49,female,meat100,40-49
2.660,3.649,meat 100+_female_50-59,female,meat100,50-59
2.621,3.627,meat 100+_female_60-69,female,meat100,60-69
2.721,3.542,meat 100+_female_70-79,female,meat100,70-79
2.902,4.926,meat 100+_male_20-29,male,meat100,20-29
2.793,4.514,meat 100+_male_30-39,male,meat100,30-39
2.814,4.031,meat 100+_male_40-49,male,meat100,40-49
2.792,3.917,meat 100+_male_50-59,male,meat100,50-59
2.764,3.709,meat 100+_male_60-69,male,meat100,60-69
2.887,3.655,meat 100+_male_70-79,male,meat100,70-79
1.640,3.465,meat50-99_female_20-29,female,meat,20-29
1.775,3.320,meat50-99_female_30-39,female,meat,30-39
1.865,3.167,meat50-99_female_40-49,female,meat,40-49
1.860,3.089,meat50-99_female_50-59,female,meat,50-59
1.856,3.122,meat50-99_female_60-69,female,meat,60-69
1.859,3.061,meat50-99_female_70-79,female,meat,70-79
1.838,3.922,meat50-99_male_20-29,male,meat,20-29
2.025,3.802,meat50-99_male_30-39,male,meat,30-39
2.019,3.350,meat50-99_male_40-49,male,meat,40-49
1.963,3.255,meat50-99_male_50-59,male,meat,50-59
1.937,3.151,meat50-99_male_60-69,male,meat,60-69
1.943,2.998,meat50-99_male_70-79,male,meat,70-79
0.330,1.317,vegan_female_20-29,female,vegan,20-29
0.440,1.301,vegan_female_30-39,female,vegan,30-39
0.536,1.436,vegan_female_40-49,female,vegan,40-49
0.458,1.344,vegan_female_50-59,female,vegan,50-59
0.484,1.383,vegan_female_60-69,female,vegan,60-69
0.559,1.575,vegan_female_70-79,female,vegan,70-79
0.543,1.781,vegan_male_20-29,male,vegan,20-29
0.553,1.551,vegan_male_30-39,male,vegan,30-39
0.584,1.366,vegan_male_40-49,male,vegan,40-49
0.416,1.248,vegan_male_50-59,male,vegan,50-59
0.339,1.307,vegan_male_60-69,male,vegan,60-69
0.366,1.714,vegan_male_70-79,male,vegan,70-79
0.999,1.856,veggie_female_20-29,female,veggie,20-29
1.095,1.797,veggie_female_30-39,female,veggie,30-39
1.140,1.732,veggie_female_40-49,female,veggie,40-49
1.110,1.757,veggie_female_50-59,female,veggie,50-59
1.138,1.720,veggie_female_60-69,female,veggie,60-69
1.137,1.720,veggie_female_70-79,female,veggie,70-79
1.273,2.299,veggie_male_20-29,male,veggie,20-29
1.297,2.182,veggie_male_30-39,male,veggie,30-39
1.213,2.041,veggie_male_40-49,male,veggie,40-49
1.146,1.905,veggie_male_50-59,male,veggie,50-59
1.135,1.722,veggie_male_60-69,male,veggie,60-69
1.142,2.009,veggie_male_70-79,male,veggie,70-79
3.715,2.196,fish_female_20-29,female,fish,20-29
3.648,2.216,fish_female_30-39,female,fish,30-39
3.626,2.182,fish_female_40-49,female,fish,40-49
3.467,2.323,fish_female_50-59,female,fish,50-59
3.675,2.476,fish_female_60-69,female,fish,60-69
3.143,2.453,fish_female_70-79,female,fish,70-79
4.559,2.645,fish_male_20-29,male,fish,20-29
3.878,2.518,fish_male_30-39,male,fish,30-39
3.671,2.335,fish_male_40-49,male,fish,40-49
3.553,2.364,fish_male_50-59,male,fish,50-59
3.568,2.544,fish_male_60-69,male,fish,60-69
3.460,2.717,fish_male_70-79,male,fish,70-79
3.941,2.189,meat <50_female_20-29,female,meat50,20-29
3.856,2.253,meat <50_female_30-39,female,meat50,30-39
3.927,2.245,meat <50_female_40-49,female,meat50,40-49
4.106,2.368,meat <50_female_50-59,female,meat50,50-59
4.257,2.436,meat <50_female_60-69,female,meat50,60-69
4.052,2.460,meat <50_female_70-79,female,meat50,70-79
4.522,2.345,meat <50_male_20-29,male,meat50,20-29
4.370,2.573,meat <50_male_30-39,male,meat50,30-39
4.227,2.387,meat <50_male_40-49,male,meat50,40-49
4.341,2.403,meat <50_male_50-59,male,meat50,50-59
4.089,2.443,meat <50_male_60-69,male,meat50,60-69
4.385,2.580,meat <50_male_70-79,male,meat50,70-79
5.651,3.371,meat 100+_female_20-29,female,meat100,20-29
5.562,3.395,meat 100+_female_30-39,female,meat100,30-39
5.802,3.414,meat 100+_female_40-49,female,meat100,40-49
5.842,3.503,meat 100+_female_50-59,female,meat100,50-59
5.823,3.589,meat 100+_female_60-69,female,meat100,60-69
5.749,3.643,meat 100+_female_70-79,female,meat100,70-79
7.234,3.907,meat 100+_male_20-29,male,meat100,20-29
5.936,3.693,meat 100+_male_30-39,male,meat100,30-39
5.988,3.445,meat 100+_male_40-49,male,meat100,40-49
6.150,3.607,meat 100+_male_50-59,male,meat100,50-59
5.705,3.651,meat 100+_male_60-69,male,meat100,60-69
5.696,3.788,meat 100+_male_70-79,male,meat100,70-79
4.673,2.655,meat50-99_female_20-29,female,meat,20-29
4.676,2.623,meat50-99_female_30-39,female,meat,30-39
4.804,2.660,meat50-99_female_40-49,female,meat,40-49
4.866,2.715,meat50-99_female_50-59,female,meat,50-59
4.923,2.854,meat50-99_female_60-69,female,meat,60-69
4.689,2.880,meat50-99_female_70-79,female,meat,70-79
5.458,2.912,meat50-99_male_20-29,male,meat,20-29
5.195,2.898,meat50-99_male_30-39,male,meat,30-39
5.207,2.766,meat50-99_male_40-49,male,meat,40-49
4.925,2.754,meat50-99_male_50-59,male,meat,50-59
5.193,2.894,meat50-99_male_60-69,male,meat,60-69
4.789,2.930,meat50-99_male_70-79,male,meat,70-79
0.229,1.130,vegan_female_20-29,female,vegan,20-29
0.298,1.174,vegan_female_30-39,female,vegan,30-39
0.317,1.329,vegan_female_40-49,female,vegan,40-49
0.239,1.456,vegan_female_50-59,female,vegan,50-59
0.302,1.568,vegan_female_60-69,female,vegan,60-69
0.603,1.750,vegan_female_70-79,female,vegan,70-79
0.449,1.703,vegan_male_20-29,male,vegan,20-29
0.345,1.468,vegan_male_30-39,male,vegan,30-39
0.313,1.318,vegan_male_40-49,male,vegan,40-49
0.257,1.366,vegan_male_50-59,male,vegan,50-59
0.180,1.969,vegan_male_60-69,male,vegan,60-69
0.208,1.546,vegan_male_70-79,male,vegan,70-79
3.440,1.619,veggie_female_20-29,female,veggie,20-29
3.349,1.647,veggie_female_30-39,female,veggie,30-39
3.279,1.681,veggie_female_40-49,female,veggie,40-49
3.284,1.776,veggie_female_50-59,female,veggie,50-59
3.228,1.895,veggie_female_60-69,female,veggie,60-69
2.706,1.908,veggie_female_70-79,female,veggie,70-79
3.957,1.986,veggie_male_20-29,male,veggie,20-29
3.707,1.898,veggie_male_30-39,male,veggie,30-39
3.350,1.851,veggie_male_40-49,male,veggie,40-49
3.098,1.827,veggie_male_50-59,male,veggie,50-59
2.794,1.905,veggie_male_60-69,male,veggie,60-69
2.959,2.215,veggie_male_70-79,male,veggie,70-79
2.400,1.723,fish_female_20-29,female,fish,20-29
2.447,1.731,fish_female_30-39,female,fish,30-39
2.373,1.724,fish_female_40-49,female,fish,40-49
2.285,1.889,fish_female_50-59,female,fish,50-59
2.456,2.076,fish_female_60-69,female,fish,60-69
2.411,2.121,fish_female_70-79,female,fish,70-79
2.898,2.074,fish_male_20-29,male,fish,20-29
2.629,2.006,fish_male_30-39,male,fish,30-39
2.640,1.895,fish_male_40-49,male,fish,40-49
2.546,1.908,fish_male_50-59,male,fish,50-59
2.567,2.056,fish_male_60-69,male,fish,60-69
2.618,2.359,fish_male_70-79,male,fish,70-79
2.270,1.694,meat <50_female_20-29,female,meat50,20-29
2.414,1.797,meat <50_female_30-39,female,meat50,30-39
2.383,1.845,meat <50_female_40-49,female,meat50,40-49
2.356,1.980,meat <50_female_50-59,female,meat50,50-59
2.493,2.071,meat <50_female_60-69,female,meat50,60-69
2.528,2.099,meat <50_female_70-79,female,meat50,70-79
2.519,1.898,meat <50_male_20-29,male,meat50,20-29
2.670,2.053,meat <50_male_30-39,male,meat50,30-39
2.588,1.974,meat <50_male_40-49,male,meat50,40-49
2.552,1.932,meat <50_male_50-59,male,meat50,50-59
2.581,2.040,meat <50_male_60-69,male,meat50,60-69
2.811,2.314,meat <50_male_70-79,male,meat50,70-79
3.585,3.127,meat 100+_female_20-29,female,meat100,20-29
3.592,3.190,meat 100+_female_30-39,female,meat100,30-39
3.678,3.296,meat 100+_female_40-49,female,meat100,40-49
3.762,3.473,meat 100+_female_50-59,female,meat100,50-59
3.724,3.528,meat 100+_female_60-69,female,meat100,60-69
3.940,3.699,meat 100+_female_70-79,female,meat100,70-79
4.125,3.658,meat 100+_male_20-29,male,meat100,20-29
