PCA_GHG_Bio,Composite_Water,grouping,sex,diet_group,age_group
2.248,3.058,meat50-99_female_50-59,female,meat,50-59
2.265,3.248,meat50-99_female_60-69,female,meat,60-69
2.305,3.250,meat50-99_female_70-79,female,meat,70-79
2.232,2.992,meat50-99_male_20-29,male,meat,20-29
2.314,3.069,meat50-99_male_30-39,male,meat,30-39
2.223,2.934,meat50-99_male_40-49,male,meat,40-49
2.216,3.098,meat50-99_male_50-59,male,meat,50-59
2.261,3.209,meat50-99_male_60-69,male,meat,60-69
2.202,3.274,meat50-99_male_70-79,male,meat,70-79
0.651,0.604,vegan_female_20-29,female,vegan,20-29
0.786,0.680,vegan_female_30-39,female,vegan,30-39
0.754,0.849,vegan_female_40-49,female,vegan,40-49
0.802,0.849,vegan_female_50-59,female,vegan,50-59
0.842,0.988,vegan_female_60-69,female,vegan,60-69
0.879,0.967,vegan_female_70-79,female,vegan,70-79
0.878,0.798,vegan_male_20-29,male,vegan,20-29
0.863,0.643,vegan_male_30-39,male,vegan,30-39
0.896,0.675,vegan_male_40-49,male,vegan,40-49
0.860,0.767,vegan_male_50-59,male,vegan,50-59
0.858,0.970,vegan_male_60-69,male,vegan,60-69
0.793,0.940,vegan_male_70-79,male,vegan,70-79
1.212,1.326,veggie_female_20-29,female,veggie,20-29
1.241,1.318,veggie_female_30-39,female,veggie,30-39
1.307,1.358,veggie_female_40-49,female,veggie,40-49
1.388,1.415,veggie_female_50-59,female,veggie,50-59
1.378,1.490,veggie_female_60-69,female,veggie,60-69
1.308,1.642,veggie_female_70-79,female,veggie,70-79
1.357,1.548,veggie_male_20-29,male,veggie,20-29
1.343,1.459,veggie_male_30-39,male,veggie,30-39
1.317,1.430,veggie_male_40-49,male,veggie,40-49
1.307,1.403,veggie_male_50-59,male,veggie,50-59
1.362,1.487,veggie_male_60-69,male,veggie,60-69
1.389,1.735,veggie_male_70-79,male,veggie,70-79
1.714,2.406,fish_female_20-29,female,fish,20-29
1.675,2.521,fish_female_30-39,female,fish,30-39
1.616,2.562,fish_female_40-49,female,fish,40-49
1.613,2.876,fish_female_50-59,female,fish,50-59
1.696,3.068,fish_female_60-69,female,fish,60-69
1.683,3.131,fish_female_70-79,female,fish,70-79
2.039,2.893,fish_male_20-29,male,fish,20-29
1.907,2.719,fish_male_30-39,male,fish,30-39
1.810,2.671,fish_male_40-49,male,fish,40-49
1.805,2.811,fish_male_50-59,male,fish,50-59
1.772,3.092,fish_male_60-69,male,fish,60-69
1.910,3.445,fish_male_70-79,male,fish,70-79
1.689,2.342,meat <50_female_20-29,female,meat50,20-29
1.743,2.471,meat <50_female_30-39,female,meat50,30-39
1.721,2.509,meat <50_female_40-49,female,meat50,40-49
1.744,2.696,meat <50_female_50-59,female,meat50,50-59
1.823,2.833,meat <50_female_60-69,female,meat50,60-69
1.812,2.966,meat <50_female_70-79,female,meat50,70-79
1.934,2.501,meat <50_male_20-29,male,meat50,20-29
1.989,2.696,meat <50_male_30-39,male,meat50,30-39
1.879,2.628,meat <50_male_40-49,male,meat50,40-49
1.875,2.676,meat <50_male_50-59,male,meat50,50-59
1.874,2.772,meat <50_male_60-69,male,meat50,60-69
2.016,2.980,meat <50_male_70-79,male,meat50,70-79
2.884,3.192,meat 100+_female_20-29,female,meat100,20-29
2.859,3.282,meat 100+_female_30-39,female,meat100,30-39
2.878,3.143,meat 100+_female_40-49,female,meat100,40-49
2.938,3.204,meat 100+_female_50-59,female,meat100,50-59
2.903,3.375,meat 100+_female_60-69,female,meat100,60-69
3.030,3.325,meat 100+_female_70-79,female,meat100,70-79
3.561,3.685,meat 100+_male_20-29,male,meat100,20-29
3.153,3.455,meat 100+_male_30-39,male,meat100,30-39
3.099,3.127,meat 100+_male_40-49,male,meat100,40-49
3.099,3.254,meat 100+_male_50-59,male,meat100,50-59
3.068,3.257,meat 100+_male_60-69,male,meat100,60-69
3.248,3.281,meat 100+_male_70-79,male,meat100,70-79
2.105,2.763,meat50-99_female_20-29,female,meat,20-29
2.124,2.778,meat50-99_female_30-39,female,meat,30-39
2.166,2.778,meat50-99_female_40-49,female,meat,40-49
2.165,2.872,meat50-99_female_50-59,female,meat,50-59
2.192,3.089,meat50-99_female_60-69,female,meat,60-69
2.245,3.211,meat50-99_female_70-79,female,meat,70-79
2.443,3.028,meat50-99_male_20-29,male,meat,20-29
2.377,3.023,meat50-99_male_30-39,male,meat,30-39
2.357,2.733,meat50-99_male_40-49,male,meat,40-49
2.261,2.859,meat50-99_male_50-59,male,meat,50-59
2.290,2.929,meat50-99_male_60-69,male,meat,60-69
2.358,2.957,meat50-99_male_70-79,male,meat,70-79
